insect_sp,n,insect_order,cpf,social,nest_location,larval_diet,insect_guild,native,notes
Sphaerophoria contigua,7,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena (Simandrena) sp. 9,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena angustella,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena evoluta,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena melanochroa,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena rufosignata,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. C,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthidium tenuiflorae,6,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Melecta thoracica,6,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. 13,6,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK3,6,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Coleoptera,6,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Phalacridae sp.,6,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Rhynchites bicolor,6,Coleoptera,cpf_no,social_no,unknown,unknown,coleoptera,,
Hylaeus basalis,6,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Dufourea trochantera,6,Hymenoptera,cpf_yes,social_no,above,pollenivore,halictidae,,
Lasioglossum dashwoodi,6,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum macroprosopum,6,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum planatum,6,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum sp. 8,6,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Nymphalidae sp.,6,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Osmia gabrielis,6,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Thecophora sp. 2,6,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Ichneumonidae sp. 3,6,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Stenodynerus,6,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Symphyta,6,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Vespula atripilosa,6,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Andrena cupreotincta,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena lawrencei,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena milwaukeensis,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sigmundi,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. 2,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthidium clypeodentatum,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthophora sp.,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Eucera douglasiana,5,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Nomada sp. 7,5,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKA,5,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Selasphorus rufus,5,Apodiformes,cpf_yes,social_no,above,predator,aves,,
Stellula calliope,5,Apodiformes,cpf_yes,social_no,above,predator,aves,,
Hemipenthes sp. 1,5,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Coleoptera sp. 4,5,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Elateridae sp. 2,5,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Lasioglossum imbrex,5,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum tenax,5,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Pieridae,5,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Megachile montivaga,5,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia calla,5,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia juxta,5,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Cercopidae,5,Hemiptera,cpf_no,social_no,above,herbivore,non-pollinator,,
Bibio,5,Diptera,cpf_no,social_no,below,detritivore,otherfly,,
Calliphora aldrichia,5,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Eulonchus tristis,5,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Systoechus oreas,5,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Tachinidae sp.6,5,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Trichopoda sp. 1,5,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Trichopoda sp. 2,5,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Crabronidae sp. 1,5,Hymenoptera,cpf_no,social_no,TDB,predator,otherhym,,
Ichneumonidae sp. 4,5,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Vespula pensylvanica,5,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Copestylum sp. 1,5,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Helophilus latifrons,5,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Parasyrphus insolitus,5,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus hyperboreus,5,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sericomyia slossanae,5,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphaerophoria novaeanglia,5,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Xylota sp.,5,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Andrena trizonata,4,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Perdita nevadensis,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,andrenidae,,
Anthophora edwardsii,4,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Nomada sp. 1,4,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. 3,4,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. K,4,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OKH,4,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Cythereinae sp. 1,4,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Anastrangalia laetifica,4,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Coleoptera sp. 2,4,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Elateridae,4,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Elateridae sp. 1,4,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Stenocorus nubifer,4,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Hylaeus punctatus,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Forficulidae sp.,4,Dermaptera,cpf_no,social_no,below,detritivore,dermaptera,,
Lasioglossum albohirtum,4,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum ovaliceps,4,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum sp. 12,4,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Lasioglossum trizonatum,4,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Sphecodes sp. 13,4,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Sphecodes sp. 2,4,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Carterocephalus palaemon,4,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Hemaris diffinis,4,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Sesiidae,4,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Hoplitis hypocrita,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile nivalis,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia proxima,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia sculleni,4,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Coelioxys sodalis,4,Hymenoptera,cpf_no,social_no,above,pollenivore,megachilidae,,
Lygaeidae sp.,4,Hemiptera,cpf_no,social_no,above,herbivore,non-pollinator,,
Pentatomidae sp.,4,Hemiptera,cpf_no,social_no,various,herbivore,non-pollinator,,
Bibionidae sp.,4,Diptera,cpf_no,social_no,below,detritivore,otherfly,,
Myopa,4,Diptera,cpf_no,social_no,above,predator,otherfly,,
Pollenia rudis,4,Diptera,cpf_no,social_no,below,predator,otherfly,,
Villa sp. 1,4,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Villa sp. 5,4,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Eumenes,4,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Holopyga,4,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Ichneumonidae sp. 2,4,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Ichneumonidae sp. 5,4,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Sphecidae sp.1,4,Hymenoptera,cpf_no,social_no,below,predator,otherhym,,
Vespula consobrina,4,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Cheilosia sp.,4,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Eumerus funeralis,4,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Melangyna sp.,4,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 1,4,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 5,4,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena ablegata,3,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena barbilabris,3,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthophora terminalis,3,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Bembix amoena,3,Hymenoptera,cpf_yes,social_no,below,predator,apidae,,
Bombus caliginosus,3,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus rufocinctus,3,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Epeolus americanus,3,Hymenoptera,cpf_no,social_no,below,pollenivore,apidae,,
Epeolus compactus,3,Hymenoptera,cpf_no,social_no,below,pollenivore,apidae,,
Nomada sp. 8,3,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK11,3,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Exoprosopa dorcadion,3,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Exoprosopa sp. 2,3,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Hemipenthes sinuosa,3,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Coleothorpa,3,Coleoptera,cpf_no,social_no,above,fungivore,coleoptera,,
Hylaeus coloradensis/nevadensis,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Hylaeus rudbeckiae,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Hylaeus sp.,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Lasioglossum egregium,3,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum mellipes,3,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Sphecodes sp. 1,3,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Sphecodes sp. 14,3,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Cercyonis,3,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Glaucopsyche lygdamus,3,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Hoplitis producta,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Hoplitis sp.,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile subnigra,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia bruneri,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia ednae,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia hurdi,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia nemoris,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia simillima,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Cicadellidae sp.,3,Hemiptera,cpf_no,social_no,above,herbivore,non-pollinator,,
Mantispidae,3,Neuroptera,no,no,various,various,non-pollinator,,
Dilophus,3,Diptera,cpf_no,social_no,below,detritivore,otherfly,,
Limnophora sp.,3,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Lucilia silvarum,3,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Myopa sp. 1,3,Diptera,cpf_no,social_no,above,predator,otherfly,,
Stratiomyis sp.,3,Diptera,cpf_no,social_no,aquatic,herbivore,otherfly,,
Thecophora,3,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Chrysis,3,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Ectemnius sp.,3,Hymenoptera,cpf_no,social_no,above,predator,otherhym,,
Polistes,3,Hymenoptera,cpf_yes,social_yes,below,predator,otherhym,,
Pseudomasaris sp. 1,3,Hymenoptera,cpf_yes,social_no,above,pollenivore,otherhym,,
Tachysphex,3,Hymenoptera,cpf_yes,social_no,both,predator,otherhym,,
Trichrysis,3,Hymenoptera,cpf_no,social_no,below,parasite,otherhym,,
Vespula sp. 2,3,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Epistrophe emarginata,3,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Helophilus fasciatus,3,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Helophilus intentus,3,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Sphaerophoria pyrrhina,3,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphaerophoria sp.,3,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Trichopsomyia spp.,3,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena (Andrena) n. sp.,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena columbiana,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena frigida,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena porterae,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. 10,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. 5,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. 6,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Heterosarus didirupa,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthophora porterae,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Anthophora ursina,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Bombus fernaldae,2,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Eucera acerba,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Melissodes bimatris,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Melissodes sp. A,2,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Nomada (Nomada) sp. A,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada crutchii,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. A,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. C,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK12,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK2,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK9,2,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Bombylius aestruus,2,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Exoprosopa sp. 1,2,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Brachysomida californica,2,Coleoptera,cpf_no,social_no,below,herbivore,coleoptera,,
Carabidae sp.,2,Coleoptera,cpf_no,social_no,below,predator,coleoptera,,
Coleoptera sp. 1,2,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Coleoptera sp. 3,2,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Elateridae sp. 7,2,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Meloidae sp.,2,Coleoptera,cpf_no,social_no,TDB,,coleoptera,,
Molorchus sp.,2,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Lasioglossum abundipunctum,2,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum colatum,2,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum nigrum,2,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum sp. 4,2,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Lasioglossum sp. B,2,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Sphecodes sp. 12,2,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Sphecodes sp. 16,2,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Berytidae,2,Hemiptera,cpf_no,social_no,above,herbivore,hemiptera,,
Hesperia juba,2,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Papilio eurymedon,2,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Parnassius clodius,2,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Megachile lippiae,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile onobrychidis,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia bella,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia nigrifrons,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia sp.,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Stelis subcaerulea,2,Hymenoptera,cpf_no,social_no,below,parasite,megachilidae,,
Coelioxys porterae,2,Hymenoptera,cpf_no,social_no,above,pollenivore,megachilidae,,
Dianthidium pudicum,2,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Orthoptera,2,Orthoptera,no,no,various,various,non-pollinator,,
Bibio sp. 1,2,Diptera,cpf_no,social_no,below,detritivore,otherfly,,
Calliphora latifrons,2,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Calliphora terraenovae,2,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Calliphora vomitoria,2,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Chamaemyiidae,2,Diptera,cpf_no,social_no,above,predator,otherfly,,
Drymeia sp.,2,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Gymnosoma sp.,2,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Gymnsoma sp. 1,2,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Oestridae sp.,2,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Peleteria sp. 2,2,Diptera,cpf_no,social_no,various,parasite,otherfly,,
Plagiomima sp.,2,Diptera,cpf_no,social_no,various,parasite,otherfly,,
Sarcophagidae sp. 1,2,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Stichopogon,2,Diptera,cpf_no,social_no,below,predator,otherfly,,
Villa sp. 3,2,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Aporus sp.,2,Hymenoptera,cpf_no,social_no,below,parasite,otherhym,,
Cimbicidae,2,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Diodontus,2,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Dolichovespula norvegicoides,2,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Eumeninae,2,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Euodynerus,2,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Euodynerus sp. 2,2,Hymenoptera,cpf_yes,social_no,above,predator,otherhym,,
Nysson,2,Hymenoptera,cpf_no,social_no,below,parasite,otherhym,,
Polistes sp.,2,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Symphyta sp. 3,2,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Vespula sp. 1,2,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Blera sp.,2,Diptera,cpf_no,social_no,aquatic*,detritivore*,Syrphidae,,
Cheilosia sp. A,2,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Chrysogaster sp.,2,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Epistrophe nitidicollis,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eristalinus aeneus,2,Diptera,cpf_no,social_no,above,detritivore,syrphidae,non-native,
Eumerus sp.,2,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Eumerus strigatus,2,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Eupeodes perplexus,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Hadromyia crawfordi,2,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Heringia sp. 2,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Heringia sp. 3,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 2,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 4,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 6,2,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphegina sp.,2,Diptera,cpf_no,social_no,above,predator,syrphidae,non-native,
Spilomyia interrupta,2,Diptera,cpf_no,social_no,above,predator,syrphidae,native,
Temnostoma sp.,2,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Temnostoma vespiformis,2,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Hyatomyia sp.,2,unknown,no,no,various,various,unknown,,not found
Agapostemon sp.,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Aglais milberti,1,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Allograpta micrura,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
"Andrena ""blue bands""",1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena (Callandrena) sp.,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena berberidis,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena chalybioides,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena chapmanae,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena knuthiana,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena miranda,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena nothocalaidis,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena prolixa,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. 7,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. D,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sp. E,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena vicina,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena ziziae,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthophora bomboides,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Anthrax,1,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Anthrax sp. 2,1,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Argidae sp.,1,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Ashmeadiella cactorum,1,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Baccha elongatus,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Blera analis,1,Diptera,cpf_no,social_no,aquatic*,detritivore*,Syrphidae,,
Bombus (Pyrobombus) sp.,1,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus q sitkensis,1,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus sp.,1,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus suckleyi,1,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus unidentifiable,1,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombylius pendens,1,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Brachypalpus oarus,1,Diptera,cpf_no,social_no,below,detritivore,syrphidae,,
Brachypalpus sp.,1,Diptera,cpf_no,social_no,below,detritivore,syrphidae,,
Buprestidae sp. 3,1,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Calliphora livida,1,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Calliphora stelviana,1,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Callophrys eryphon,1,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Cerambycidae sp. 4,1,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Cerambycidae sp. 5,1,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Cerambycidae sp.3,1,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Cerambycinae sp.,1,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Chalcididae sp.,1,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Chelonus sp.,1,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Chrysotoxum,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Chrysotoxum flavifrons,1,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Cimbicidae sp. 1,1,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Coccinellidae,1,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Colletes phaceliae,1,Hymenoptera,cpf_yes,social_no,below,pollenivore,colletidae,,
Conopidae,1,Diptera,cpf_no,social_no,both,parasite,otherfly,,
Conura side,1,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Copestylum sp. 2,1,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Crabronidae sp. 4,1,Hymenoptera,cpf_no,social_no,,predator,otherhym,,
Crabronidae sp. 8,1,Hymenoptera,cpf_no,social_no,,predator,otherhym,,
Crambidae sp.,1,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Criorhina sp. 1,1,Diptera,cpf_no,social_no,above,detritivore,syrphidae,,
Crossocerus,1,Hymenoptera,cpf_yes,social_no,,predator,otherhym,,
Curculionidae sp.,1,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Cynomya sp.,1,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Danaus plexippus,1,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
